strain	log2(PTR)	sampleID	plant	syncom	treatment	generation	line	sample_type	condition
LjRoot44	0.07185638811240701	g11_l20	gifu	lj	native	11	20	generation	gifu_lj
LjRoot46	0.30609758962299577	g11_l20	gifu	lj	native	11	20	generation	gifu_lj
LjRoot52	0.11466964715728305	g11_l20	gifu	lj	native	11	20	generation	gifu_lj
LjRoot59	0.34573885265965737	g11_l20	gifu	lj	native	11	20	generation	gifu_lj
LjRoot60	0.12857930880922933	g11_l20	gifu	lj	native	11	20	generation	gifu_lj
LjRoot72	0.1846770210430475	g11_l20	gifu	lj	native	11	20	generation	gifu_lj
LjRoot82	0.4469312834218769	g11_l20	gifu	lj	native	11	20	generation	gifu_lj
LjNodule218	0.037198818933449056	g12_l1	col0	at	native	12	1	generation	col0_at
Root123D2	0.08633594164073585	g12_l1	col0	at	native	12	1	generation	col0_at
Root1310	0.15388443322097364	g12_l1	col0	at	native	12	1	generation	col0_at
Root142	0.5120306775584528	g12_l1	col0	at	native	12	1	generation	col0_at
Root265	0.06650040868604343	g12_l1	col0	at	native	12	1	generation	col0_at
Root29	0.07143246025023452	g12_l1	col0	at	native	12	1	generation	col0_at
Root418	0.10662954015506071	g12_l1	col0	at	native	12	1	generation	col0_at
Root480	0.2209578919468478	g12_l1	col0	at	native	12	1	generation	col0_at
Root61	0.3019079570559146	g12_l1	col0	at	native	12	1	generation	col0_at
Root685	0.09312943761702978	g12_l1	col0	at	native	12	1	generation	col0_at
Root68	1.71612411450414	g12_l1	col0	at	native	12	1	generation	col0_at
Root695	0.021301683046541283	g12_l1	col0	at	native	12	1	generation	col0_at
Root720	0.21947219335727927	g12_l1	col0	at	native	12	1	generation	col0_at
Root77	0.2453643351949464	g12_l1	col0	at	native	12	1	generation	col0_at
Root83	0.7898069450616007	g12_l1	col0	at	native	12	1	generation	col0_at
Root935	0.31305340701518414	g12_l1	col0	at	native	12	1	generation	col0_at
LjNodule218	0.019085707649379485	g12_l2	col0	at	native	12	2	generation	col0_at
Root123D2	0.12239315015638896	g12_l2	col0	at	native	12	2	generation	col0_at
Root1310	0.154863405812958	g12_l2	col0	at	native	12	2	generation	col0_at
Root142	0.41596742522968483	g12_l2	col0	at	native	12	2	generation	col0_at
Root265	0.23292071983823667	g12_l2	col0	at	native	12	2	generation	col0_at
Root29	0.08011670109533836	g12_l2	col0	at	native	12	2	generation	col0_at
Root418	0.23751636960080907	g12_l2	col0	at	native	12	2	generation	col0_at
Root480	0.048072634325212193	g12_l2	col0	at	native	12	2	generation	col0_at
Root61	0.30045487930387804	g12_l2	col0	at	native	12	2	generation	col0_at
Root685	0.07104349097040961	g12_l2	col0	at	native	12	2	generation	col0_at
Root68	2.2780454986995107	g12_l2	col0	at	native	12	2	generation	col0_at
Root695	0.054553380329969155	g12_l2	col0	at	native	12	2	generation	col0_at
Root720	0.2731390356153796	g12_l2	col0	at	native	12	2	generation	col0_at
Root77	0.2715784663183309	g12_l2	col0	at	native	12	2	generation	col0_at
Root83	0.8333772610355332	g12_l2	col0	at	native	12	2	generation	col0_at
Root935	0.39589255865133594	g12_l2	col0	at	native	12	2	generation	col0_at
LjNodule218	0.04994447992719351	g12_l3	col0	at	native	12	3	generation	col0_at
Root123D2	0.0866498498629549	g12_l3	col0	at	native	12	3	generation	col0_at
Root1310	0.0653766967321422	g12_l3	col0	at	native	12	3	generation	col0_at
Root142	0.19402110937178463	g12_l3	col0	at	native	12	3	generation	col0_at
Root265	0.11539763816314288	g12_l3	col0	at	native	12	3	generation	col0_at
Root29	0.04316184109333313	g12_l3	col0	at	native	12	3	generation	col0_at
Root418	0.06851781506726246	g12_l3	col0	at	native	12	3	generation	col0_at
Root480	0.09092284926040432	g12_l3	col0	at	native	12	3	generation	col0_at
Root61	0.20104290736365363	g12_l3	col0	at	native	12	3	generation	col0_at
Root685	0.10413114692554494	g12_l3	col0	at	native	12	3	generation	col0_at
Root68	1.4089543463989347	g12_l3	col0	at	native	12	3	generation	col0_at
Root695	0.02141407526841816	g12_l3	col0	at	native	12	3	generation	col0_at
Root720	0.22647147029084516	g12_l3	col0	at	native	12	3	generation	col0_at
Root77	0.1939574727489518	g12_l3	col0	at	native	12	3	generation	col0_at
Root83	0.5881546318052081	g12_l3	col0	at	native	12	3	generation	col0_at
Root935	0.22098532968254708	g12_l3	col0	at	native	12	3	generation	col0_at
LjNodule218	0.05647091458699372	g12_l4	col0	at	native	12	4	generation	col0_at
Root123D2	0.08567440169389372	g12_l4	col0	at	native	12	4	generation	col0_at
Root1310	0.03892520104741453	g12_l4	col0	at	native	12	4	generation	col0_at
Root142	0.0779362192538455	g12_l4	col0	at	native	12	4	generation	col0_at
Root265	0.059710291510536875	g12_l4	col0	at	native	12	4	generation	col0_at
Root29	0.03448548839365237	g12_l4	col0	at	native	12	4	generation	col0_at
Root418	0.030546197440956917	g12_l4	col0	at	native	12	4	generation	col0_at
Root480	0.04914501849986936	g12_l4	col0	at	native	12	4	generation	col0_at
Root61	0.2276446638119464	g12_l4	col0	at	native	12	4	generation	col0_at
Root685	0.1367128861795848	g12_l4	col0	at	native	12	4	generation	col0_at
Root68	1.2189352175511088	g12_l4	col0	at	native	12	4	generation	col0_at
Root695	0.03553755172033257	g12_l4	col0	at	native	12	4	generation	col0_at
Root720	0.2911812878947336	g12_l4	col0	at	native	12	4	generation	col0_at
Root77	0.23792546498559505	g12_l4	col0	at	native	12	4	generation	col0_at
Root83	0.613049887045931	g12_l4	col0	at	native	12	4	generation	col0_at
Root935	0.18040441547566055	g12_l4	col0	at	native	12	4	generation	col0_at
LjNodule218	0.0413770364907231	g12_l5	col0	at	native	12	5	generation	col0_at
Root123D2	0.09340076208861081	g12_l5	col0	at	native	12	5	generation	col0_at
Root1310	0.05208587878640512	g12_l5	col0	at	native	12	5	generation	col0_at
Root142	0.03359377513367242	g12_l5	col0	at	native	12	5	generation	col0_at
Root265	0.07517976004686708	g12_l5	col0	at	native	12	5	generation	col0_at
Root29	0.03134087546823931	g12_l5	col0	at	native	12	5	generation	col0_at
Root418	0.028144054386049278	g12_l5	col0	at	native	12	5	generation	col0_at
Root480	0.07228425140580982	g12_l5	col0	at	native	12	5	generation	col0_at
Root61	0.14682821662534562	g12_l5	col0	at	native	12	5	generation	col0_at
Root685	0.0965630543796787	g12_l5	col0	at	native	12	5	generation	col0_at
Root68	1.6683019472656935	g12_l5	col0	at	native	12	5	generation	col0_at
Root695	0.02075657028062175	g12_l5	col0	at	native	12	5	generation	col0_at
Root720	0.2452302248835973	g12_l5	col0	at	native	12	5	generation	col0_at
Root77	0.2334929929727647	g12_l5	col0	at	native	12	5	generation	col0_at
Root83	0.49630316873784774	g12_l5	col0	at	native	12	5	generation	col0_at
Root935	0.17026005164336086	g12_l5	col0	at	native	12	5	generation	col0_at
LjNodule218	0.10293639368226684	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot17	0.2195843991330824	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot1	0.15766671456421355	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot222	0.2484165371075608	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot262	0.042198552449478954	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot33	0.231558038884376	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot46	0.1165135357440704	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot52	0.4301072879568332	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot59	0.7023414403229316	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot60	0.14373650157640294	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot72	0.05384191125477988	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot80	0.1095364940602437	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjRoot82	0.14515914756635237	g12_l6	col0	lj	non-native	12	6	generation	col0_lj
LjNodule218	0.19575778993700166	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot17	0.2790428612639946	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot1	0.11347896351027807	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot222	0.09654709673147474	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot262	0.0645692666373445	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot33	0.09476949483955635	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot44	0.06825194340142195	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot46	0.10238651383755258	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot52	0.03236494085035644	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot59	0.1070005342467813	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot60	0.07503872894977313	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot72	0.07021201891047524	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot80	0.13986687035229206	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot82	0.23504196270283512	g12_l7	col0	lj	non-native	12	7	generation	col0_lj
LjRoot17	0.20220821970080427	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot1	0.359714584294423	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot222	0.03864739764895734	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot262	0.05338920361357151	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot33	0.2182335388429028	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot44	0.08593710569010521	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot46	0.28282966125438225	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot59	0.9260006443451777	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot60	0.13255708274208294	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot72	0.1016514492406081	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjRoot82	0.3989130685545549	g12_l8	col0	lj	non-native	12	8	generation	col0_lj
LjNodule218	0.030982162846716784	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot17	0.3856426319621831	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot1	0.7634820275719169	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot222	0.17017372784253465	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot262	0.061922484374219815	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot33	0.5209955661143238	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot44	0.4126471476615505	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot46	0.4654787420814341	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot52	0.11595568832902084	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot59	1.2824669542107572	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot60	0.5790483750872638	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot72	0.19763448158094518	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot80	0.09240643086455787	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjRoot82	0.548992674753731	g12_l9	col0	lj	non-native	12	9	generation	col0_lj
LjNodule218	0.11740138933068565	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot17	0.1789258196480414	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot1	0.37783105285997587	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot222	0.11882871371627056	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot262	0.030935134098115366	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot33	0.36377421632583584	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot44	0.15714884168596194	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot46	0.43221949847974783	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot52	0.06786651304485461	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot59	1.2527702380073356	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot60	0.4285201475378748	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot72	0.17373734741590238	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot80	0.07311975557650041	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjRoot82	0.24577561986878554	g12_l10	col0	lj	non-native	12	10	generation	col0_lj
LjNodule218	0.02300592686793456	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root123D2	0.07260210954886244	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root142	0.01629046195970234	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root265	0.1284273816795795	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root29	0.03592749829055288	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root418	0.07388821890815059	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root480	0.015165796345506159	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root61	0.3401346609519591	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root685	0.14002585740925322	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root68	2.2176801989705	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root695	0.06968448462611741	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root720	0.1872587043405481	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root77	0.1975148985197535	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root83	0.20910326790789427	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
Root935	0.29530479725845815	g12_l11	gifu	at	non-native	12	11	generation	gifu_at
LjNodule218	0.023213291127138193	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root123D2	0.11031981292620505	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root1310	0.06364397338695343	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root142	0.08635646220184352	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root265	0.09618059517240238	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root29	0.040083245196606124	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root418	0.02772288238129123	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root480	0.028113460986127558	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root61	0.368456998296699	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root685	0.07525106636699151	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root68	2.458217063405308	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root695	0.07567688927936667	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root720	0.08244946095603439	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root77	0.18374142810793073	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root83	0.2380161815129878	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
Root935	0.179272273351352	g12_l12	gifu	at	non-native	12	12	generation	gifu_at
LjNodule218	0.013566076559797963	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root123D2	0.06544124075443461	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root265	0.07641163646699951	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root29	0.018197069160860682	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root418	0.019773042123100843	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root480	0.059905611951364554	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root61	0.2769176450908226	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root685	0.06440909618485939	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root68	2.420321992865835	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root695	0.15360222813691313	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root720	0.08042209783752352	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root77	0.15918643656161038	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root83	0.176551969582072	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
Root935	0.14226411378444304	g12_l13	gifu	at	non-native	12	13	generation	gifu_at
LjNodule218	0.032340887564306295	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root123D2	0.09538641178977986	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root1310	0.0821655395038594	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root265	0.10431430599418534	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root29	0.023015421529591157	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root418	0.057657313916431724	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root480	0.052303899155121465	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root61	0.4305494304937305	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root685	0.08458725199464646	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root68	2.466910078699818	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root695	0.1257040335629692	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root77	0.1848396323677827	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root83	0.2718301351331499	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
Root935	0.15180390738815547	g12_l14	gifu	at	non-native	12	14	generation	gifu_at
LjNodule218	0.258043617657543	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root123D2	0.12875547381309949	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root1310	0.05499465493843318	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root142	0.09361823806751553	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root265	0.15536674123060776	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root29	0.060991847593093375	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root418	0.03220276334047106	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root480	0.02788641790555966	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root61	0.4069651872587866	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root685	0.1823448827023773	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root68	2.291451421354471	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root695	0.12430832208777906	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root720	0.11932363770464653	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root77	0.19188256765618827	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root83	0.1870639926590558	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
Root935	0.08787308910296433	g12_l15	gifu	at	non-native	12	15	generation	gifu_at
LjNodule218	0.04689150880967044	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot17	0.17359812648435335	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot1	0.3986971878411116	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot222	0.1351273989364399	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot262	0.01159653932828169	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot33	0.2574252209334946	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot44	0.2511957456988835	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot46	0.3758100789254634	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot52	0.17544788499762928	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot59	0.756381138529722	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot60	0.5599934057553896	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot72	0.16994690723308561	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot80	0.02685932078277483	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjRoot82	0.7256300906921528	g12_l16	gifu	lj	native	12	16	generation	gifu_lj
LjNodule218	0.038952550119442826	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot17	0.08279326700216069	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot1	0.3026561452907817	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot222	0.14164114987432166	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot262	0.014926808102902037	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot33	0.29386123122146085	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot44	0.3534721366238618	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot46	0.2720261391132139	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot52	0.13279890003495565	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot59	0.715721099506504	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot60	0.601507231926985	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot72	0.17430743732869994	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot80	0.07070791567108393	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjRoot82	0.8417984960980697	g12_l17	gifu	lj	native	12	17	generation	gifu_lj
LjNodule218	0.020870584275419997	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot17	0.041585322918451025	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot1	0.32621677402522664	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot222	0.1491053571341387	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot262	0.01597193376926838	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot33	0.1436521792363926	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot44	0.15457210816369832	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot46	0.2325024435802953	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot52	0.08235772832270541	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot59	0.6432810249988111	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot60	0.24665289271337906	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot72	0.13131662945075703	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot80	0.057775113765064355	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjRoot82	0.7711222369451856	g12_l18	gifu	lj	native	12	18	generation	gifu_lj
LjNodule218	0.04026724404240277	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot17	0.08724425328804741	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot1	0.4234655974440638	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot222	0.08653177302135923	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot262	0.017514295335741795	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot33	0.1404875492787275	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot44	0.14775543888911083	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot46	0.16881829979102192	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot52	0.1773431621492413	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot59	0.6242781060489513	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot60	0.268865753558568	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot72	0.10307596268185625	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot80	0.2031259176158039	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjRoot82	0.6037620443088443	g12_l19	gifu	lj	native	12	19	generation	gifu_lj
LjNodule218	0.01009111104819185	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot17	0.21539119872017556	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot1	0.11025873296947322	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot222	0.19139296133565795	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot262	0.028584269386224673	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot33	0.12355234714420334	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot44	0.021375525808396575	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot46	0.22905222294149793	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot52	0.10010636188987594	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot59	0.3967542795050414	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot60	0.17000565077268806	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot72	0.13991912401163212	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot80	0.054388142963678464	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjRoot82	0.6961870723723358	g12_l20	gifu	lj	native	12	20	generation	gifu_lj
LjNodule218	0.08714609168447172	g13_l1	col0	at	native	13	1	generation	col0_at
Root123D2	0.10508471261896875	g13_l1	col0	at	native	13	1	generation	col0_at
Root1310	0.5509724137844899	g13_l1	col0	at	native	13	1	generation	col0_at
Root142	0.1040519054969135	g13_l1	col0	at	native	13	1	generation	col0_at
Root265	0.08757679627815522	g13_l1	col0	at	native	13	1	generation	col0_at
Root29	0.11650957073440087	g13_l1	col0	at	native	13	1	generation	col0_at
Root418	0.33450620970771927	g13_l1	col0	at	native	13	1	generation	col0_at
Root480	0.3959328663940584	g13_l1	col0	at	native	13	1	generation	col0_at
Root61	0.6018796149309367	g13_l1	col0	at	native	13	1	generation	col0_at
Root685	0.09035883323043614	g13_l1	col0	at	native	13	1	generation	col0_at
Root68	1.9621585871675846	g13_l1	col0	at	native	13	1	generation	col0_at
Root695	0.060409667148943795	g13_l1	col0	at	native	13	1	generation	col0_at
Root720	0.17075406125456358	g13_l1	col0	at	native	13	1	generation	col0_at
Root77	0.22095053291440928	g13_l1	col0	at	native	13	1	generation	col0_at
Root83	0.8680411516944931	g13_l1	col0	at	native	13	1	generation	col0_at
Root935	0.5578971137282489	g13_l1	col0	at	native	13	1	generation	col0_at
LjNodule218	0.03671765540772069	g13_l2	col0	at	native	13	2	generation	col0_at
Root123D2	0.10832758650451642	g13_l2	col0	at	native	13	2	generation	col0_at
Root1310	0.7096139250833631	g13_l2	col0	at	native	13	2	generation	col0_at
Root142	0.19780627323798425	g13_l2	col0	at	native	13	2	generation	col0_at
Root265	0.09932280775057138	g13_l2	col0	at	native	13	2	generation	col0_at
Root29	0.16925459547638455	g13_l2	col0	at	native	13	2	generation	col0_at
Root418	0.46793054641361775	g13_l2	col0	at	native	13	2	generation	col0_at
Root480	0.31023202172134606	g13_l2	col0	at	native	13	2	generation	col0_at
Root61	0.7480854369284113	g13_l2	col0	at	native	13	2	generation	col0_at
Root685	0.09257973748748172	g13_l2	col0	at	native	13	2	generation	col0_at
Root68	2.563630952845922	g13_l2	col0	at	native	13	2	generation	col0_at
Root695	0.04261750675995878	g13_l2	col0	at	native	13	2	generation	col0_at
Root720	0.22925085756201616	g13_l2	col0	at	native	13	2	generation	col0_at
Root77	0.09994946775184642	g13_l2	col0	at	native	13	2	generation	col0_at
Root83	0.76095339484233	g13_l2	col0	at	native	13	2	generation	col0_at
Root935	0.5243899730064777	g13_l2	col0	at	native	13	2	generation	col0_at
LjNodule218	0.035677130670496424	g13_l3	col0	at	native	13	3	generation	col0_at
