line	generation	sample_type	weight	plant	syncom	condition
8	5	generation	32.300000000000004	col0	lj	non-native
8	5	generation	33.19999999999999	col0	lj	non-native
8	5	generation	51.19999999999999	col0	lj	non-native
8	5	generation	55.9	col0	lj	non-native
8	5	generation	68.10000000000001	col0	lj	non-native
9	5	generation	33.19999999999999	col0	lj	non-native
9	5	generation	42.599999999999994	col0	lj	non-native
9	5	generation	67.4	col0	lj	non-native
9	5	generation	72.4	col0	lj	non-native
at_axenic	5	axenic	6.2	col0		
at_axenic	5	axenic	12.399999999999999	col0		
at_axenic	5	axenic	16.6	col0		
at_axenic	5	axenic	20.7	col0		
at_axenic	5	axenic	22.799999999999997	col0		
at_axenic	5	axenic	24.3	col0		
at_axenic	5	axenic	28.4	col0		
at_axenic	5	axenic	39.199999999999996	col0		
at_axenic	5	axenic	56.1	col0		
c1	5	competition	40.39999999999999	col0	mixed	native
c1	5	competition	48.2	col0	mixed	native
c1	5	competition	68.1	col0	mixed	native
c10	5	competition	130.5	gifu	mixed	native
c10	5	competition	153.3	gifu	mixed	native
c10	5	competition	184.5	gifu	mixed	native
c11	5	competition	35.8	col0	mixed	non-native
c11	5	competition	71.7	col0	mixed	non-native
c12	5	competition	27.3	col0	mixed	non-native
c12	5	competition	36.900000000000006	col0	mixed	non-native
c12	5	competition	39.0	col0	mixed	non-native
c12	5	competition	46.7	col0	mixed	non-native
c13	5	competition	27.1	col0	mixed	non-native
c13	5	competition	42.6	col0	mixed	non-native
c13	5	competition	50.5	col0	mixed	non-native
c14	5	competition	61.999999999999986	col0	mixed	non-native
c14	5	competition	67.2	col0	mixed	non-native
c15	5	competition	39.4	col0	mixed	non-native
c15	5	competition	41.19999999999999	col0	mixed	non-native
c15	5	competition	43.599999999999994	col0	mixed	non-native
c15	5	competition	63.50000000000001	col0	mixed	non-native
c16	5	competition	62.3	gifu	mixed	non-native
c16	5	competition	68.60000000000001	gifu	mixed	non-native
c16	5	competition	132.6	gifu	mixed	non-native
c17	5	competition	67.5	gifu	mixed	non-native
c17	5	competition	119.79999999999998	gifu	mixed	non-native
c17	5	competition	161.6	gifu	mixed	non-native
c18	5	competition	43.9	gifu	mixed	non-native
c18	5	competition	85.0	gifu	mixed	non-native
c18	5	competition	113.79999999999998	gifu	mixed	non-native
c19	5	competition	32.8	gifu	mixed	non-native
c19	5	competition	63.3	gifu	mixed	non-native
